Theme,Variable,Description,Logic_criteria,Criteria
Processes,Autotext20,"While %s does not deviate from historical reference levels, this is not the case for %s.",isFALSE(Low.pe) & isFALSE(Low.hc) & isFALSE(Low.j) & isTRUE(Low.m),
Processes,Autotext21,"While %s does not deviate from historical reference levels, this is not the case for %s and adds to the concern for maintenance of recovery potential.",isTRUE(Low.pe) & isFALSE(Low.hc) & isFALSE(Low.j) & isTRUE(Low.m),
Processes,Autotext22,"While %s does not deviate from historical reference levels, this is not the case for %s and raises some concern for the maintenance of recovery processes.",isFALSE(Low.pe) & isTRUE(Low.hc) & isFALSE(Low.j) & isTRUE(Low.m),
Processes,Autotext23,"While %s does not deviate from historical reference levels, this is not the case for %s and this raises further concern for the maintenance of recovery processes.",isTRUE(Low.pe) & isTRUE(Low.hc) & isFALSE(Low.j) & isTRUE(Low.m),"  One of Ma or Juv ok, Recovery.performance and HC low -Critical"
Processes,Autotext20,"While %s does not deviate from historical reference levels, this is not the case for %s.",isFALSE(Low.pe) & isFALSE(Low.hc) & isFALSE(Low.m) & isTRUE(Low.j),
Processes,Autotext21,"While %s does not deviate from historical reference levels, this is not the case for %s and adds to the concern for maintenance of recovery potential.",isTRUE(Low.pe) & isFALSE(Low.hc) & isFALSE(Low.m) & isTRUE(Low.j),
Processes,Autotext22,"While %s does not deviate from historical reference levels, this is not the case for %s and raises some concern for the maintenance of recovery processes.",isFALSE(Low.pe) & isTRUE(Low.hc) & isFALSE(Low.m) & isTRUE(Low.j),
Processes,Autotext23,"While %s does not deviate from historical reference levels, this is not the case for %s and this raises further concern for the maintenance of recovery processes.",isTRUE(Low.pe) & isTRUE(Low.hc) & isFALSE(Low.m) & isTRUE(Low.j),"  One of Ma or Juv ok, Recovery.performance and HC low -Critical"
Processes,Autotext24,The density of <i>Acropora</i> juveniles at %s reefs are low and likely to be limiting recovery.,as.numeric(n.reef.j.low)>0 & as.numeric(n.reef.j.low)<as.numeric(n.reef.j),Juvenile.density consequence at least 1 low
Processes,Autotext25,Current densities of <i>Acropora</i> juveniles are likely to be limiting recovery at all reefs.,n.reef.j==n.reef.j.low,  #Juvenile.density consequence all low
Processes,Autotext26,Current densities of <i>Acropora</i> juveniles are sufficient to promote recovery at all reefs.,as.numeric(n.reef.j.low)==0,#Juvenile.density consequence ok all
Processes,Autotext27,"In addition to having increased relative to reference levels, macroalgae are sufficiently common to limit coral community resilience at %s reefs.",as.numeric(n.reef.m.low)>0 & as.numeric(n.reef.m.low)<as.numeric(n.reef.m) & isTRUE(Low.m),"  # Macroalgae consequence at least 1 low, MA regionally low"
Processes,Autotext28,"However, although on average macroalgae do not exceeded reference levels, they are at levels likely to limit coral community recovery at %s reefs.",as.numeric(n.reef.m.low)>0 & as.numeric(n.reef.m.low)<as.numeric(n.reef.m) & isFALSE(Low.m),"  # Macroalgae consequence at least 1 low, MA regionally ok"
Processes,Autotext29,"In addition to having increased beyond reference levels, macroalgae are at levels likely to limit coral community resilience at all reefs monitored.",n.reef.m==n.reef.m.low & isTRUE(Low.m),"  # Macroalgae consequence all low, MA regionally low"
Processes,Autotext30,"Although macroalgae do not exceeded reference levels, they are at levels likely to limit coral community recovery at all reefs monitored.",n.reef.m==n.reef.m.low & isFALSE(Low.m),# Macroalgae all all MA regionally ok
Processes,Autotext31,Macroalgae are below levels likely to limit coral community recovery at all reefs monitored.,n.reef.m.low ==0 & isFALSE(Low.m),  # Macroalgae all MA regionally ok and not above critical
Processes,Autotext32,"Despite the cover of hard corals remaining at or above reference levels, there is evidence that the composition of communities have changed. Such changes are evident at %s reefs.",isTRUE(Low.co) & isFALSE(Low.hc)& low.years.co>0,  # comp low - hc ok.
Processes,Autotext32a,"Despite the cover of hard corals remaining at or above reference levels, the community composition of communities have remained distinct from those historically observed since %s. Current changes are evident at %s reefs.",isTRUE(Low.co) & isFALSE(Low.hc) & low.years.co>0,  # comp low >1 year - hc ok. 
Processes,Autotext33,In addition to the cover of hard corals remaining within reference levels there is no evidence for region-wide change in the taxonomic composition of coral communities.,isFALSE(Low.co) & isFALSE(Low.hc) & n.reef.co.low==0,"  # comp ok - hc ok, no reef level change"
Processes,Autotext34,"=""In addition to the cover of hard corals remaining within reference levels there is no evidence for region-wide change in the taxnomic Community.composition of coral communities. However, community Community.composition shifts from that historically observed are evident at %s reefs.""",isFALSE(Low.co) & isFALSE(Low.hc) & as.numeric(n.reef.co.low)>0,"  # comp ok - hc ok, some reef level change"
Processes,Autotext35,"In addition to low cover of hard corals, there is evidence that the composition of communities have changed within the region. Such changes are evident at %s reefs.",isTRUE(Low.co) & isTRUE(Low.hc)& low.years.co==0,  # comp low - hc low.
Processes,Autotext35a,"In addition to low cover of hard corals, the Community. Composition of communities have remained distinct from those historically observed since %s. Currently changes are evident at %s reefs.",isTRUE(Low.co) & isTRUE(Low.hc) & low.years.co>0,  # comp low >1 year - hc low.
Processes,Autotext36,"Although the cover of hard corals is low, there is no evidence for region-wide change in the taxonomic community composition of coral communities.",isFALSE(Low.co) & isFALSE(Low.hc) ,  # comp ok - hc low
Processes,Autotext37,"While the taxonomic community composition of coral communities remains distinct from those observed during the historic reference period they are similar to those more recently observed, suggesting a persistent shift.",isTRUE(Low.co) & isFALSE(Low.co.c),  # new stable state
Processes,Autotext38,"In addition to the taxonomic community composition of coral communities remaining distinct from those observed during the historic reference period they are also distinct from those more recently observed, suggesting ongoing changes in community composition.",isTRUE(Low.co) & isTRUE(Low.co.c),  # new stable state
Processes,Autotext39,The taxonomic community composition of coral communities remains consistent over time.,"max(not.comp,not.j,not.pe,not.ma)==0",  # new stable state
Disclaimer,sample.autotext,"This synopsis was derived from indicators estimated at %s locations, across reefs and survey depths. In %s, all indicators were assessed for each those locations.","not.j>0 & max(not.comp,not.pe,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s locations, across reefs and survey depths. In %s, the scores for %s was not available in %s of those locations.","not.j>0 & max(not.comp,not.pe,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s locations, across reefs and survey depths. In %s, the scores for %s was not available in %s of those locations.","not.comp>0 & max(not.j,not.pe,not.ma)==0",
Disclaimer,sample.autotext.n1,,"not.pe>0 & max(not.j,not.comp,not.ma)==0",
Disclaimer,sample.autotext.n1,"This synopsis was derived from indicators estimated at %s locations, across reefs and survey depths. In %s, the scores for %s and %s were not available in %s and %s of these locations, respectively.","not.ma>0 & max(not.j,not.pe,not.comp)==0",
Disclaimer,sample.autotext.n2,"This synopsis reflects the indicator scores observed at %s reef and depth combinations. In %s, the scores for %s, %s and %s were not available in %s, %s and %s of these locations, respectively.","not.j>0 & not.comp>0 & max(not.ma,not.pe)==0",
Disclaimer,sample.autotext.n2,,"not.j>0 & not.ma>0 & max(not.comp,not.pe)==0",
Disclaimer,sample.autotext.n2,,"not.j>0 & not.pe>0 & max(not.comp,not.ma)==0",
Disclaimer,sample.autotext.n2,,"not.pe>0 & not.ma>0 & max(not.comp,not.j)==0",
Disclaimer,sample.autotext.n2,,"not.pe>0 & not.comp>0 & max(not.ma,not.j)==0",
Disclaimer,sample.autotext.n2,,"not.ma>0 & not.comp>0 & max(not.pe,not.j)==0",
Disclaimer,sample.autotext.n3,,not.ma>0 & not.comp>0 & not.j>0 & not.pe==0,
Disclaimer,sample.autotext.n3,,not.ma>0 & not.pe>0 & not.j>0 & not.comp==0,
Disclaimer,sample.autotext.n3,,not.ma>0 & not.comp>0 & not.pe>0 & not.j==0,
Disclaimer,sample.autotext.n3,,not.pe>0 & not.comp>0 & not.j>0 & not.ma==0,
